date,close,volume,source,log_return,vodacom_era
2022-01-13,37.95,2428200,xlsx,-0.001316655884746785,pre_announcement
2022-01-14,37.85,2009000,xlsx,-0.002638523958181172,pre_announcement
2022-01-17,37.65,4225900,xlsx,-0.005298025637555273,pre_announcement
2022-01-18,37.55,1004400,xlsx,-0.002659576035758831,pre_announcement
2022-01-19,37.0,10997900,xlsx,-0.01475546556591921,pre_announcement
2022-01-20,37.55,3168800,xlsx,0.014755465565919267,pre_announcement
2022-01-21,37.45,4757900,xlsx,-0.002666668246915117,pre_announcement
2022-01-24,37.3,3478500,xlsx,-0.004013383313458787,pre_announcement
2022-01-25,36.55,7909100,xlsx,-0.02031214045398236,pre_announcement
2022-01-26,35.95,7084400,xlsx,-0.016552102028731645,pre_announcement
2022-01-27,35.9,2088100,xlsx,-0.0013917886728226083,pre_announcement
2022-01-28,36.2,11041100,xlsx,0.008321823337492278,pre_announcement
2022-01-31,36.9,2867800,xlsx,0.01915243221475592,pre_announcement
2022-02-01,37.5,1874300,xlsx,0.016129381929883717,pre_announcement
2022-02-02,37.6,5128600,xlsx,0.0026631174194836284,pre_announcement
2022-02-03,37.8,20020300,xlsx,0.005305052229693098,pre_announcement
2022-02-04,38.0,1182300,xlsx,0.005277057100843819,pre_announcement
2022-02-07,38.05,2911600,xlsx,0.001314924581309022,pre_announcement
2022-02-08,38.9,15629900,xlsx,0.02209316631670589,pre_announcement
2022-02-09,38.3,5454100,xlsx,-0.015544354437800344,pre_announcement
2022-02-10,38.7,14587600,xlsx,0.010389703849135868,pre_announcement
2022-02-11,38.5,413900,xlsx,-0.005181358741997629,pre_announcement
2022-02-14,38.1,2071100,xlsx,-0.010443959161083262,pre_announcement
2022-02-15,37.35,11463100,xlsx,-0.019881370553828933,pre_announcement
2022-02-16,37.65,6751700,xlsx,0.00800004266707615,pre_announcement
2022-02-17,37.95,6805600,xlsx,0.007936549595736562,pre_announcement
2022-02-18,37.95,2057900,xlsx,0.0,pre_announcement
2022-02-21,37.95,1566100,xlsx,0.0,pre_announcement
